	-0.11	9.80	-6.81	-5.44	-5.00	3449.50
-0.06	0.51	9.78	-3.00	-3.19	-3.19	3449.50
-0.06	0.51	9.78	-3.00	-3.19	-3.19	3449.50
-0.03	0.42	9.73	-1.81	-1.94	-1.81	3449.51
-0.03	0.42	9.73	-1.81	-1.94	-1.81	3449.51
-0.34	-0.12	9.87	-2.94	-3.13	-3.44	3449.52
-0.34	-0.12	9.87	-2.25	-2.94	-2.63	3449.53
0.12	0.19	9.70	-2.25	-2.94	-2.63	3449.53
-0.19	0.12	9.71	-2.19	-3.00	-2.44	3449.54
-0.19	0.12	9.71	-2.19	-3.00	-2.44	3449.54
-0.10	0.16	9.89	-2.44	-2.13	-2.00	3449.55
-0.10	0.16	9.89	-2.44	-2.13	-2.00	3449.55
0.06	0.29	9.74	-1.75	-2.00	-1.31	3449.56
0.06	0.29	9.74	-1.75	-2.00	-1.31	3449.56
-0.03	0.17	9.71	-1.81	-1.44	-0.94	3449.57
-0.03	0.17	9.71	-1.81	-1.44	-0.94	3449.58
0.06	0.26	9.69	-0.69	-0.75	-0.50	3449.58
0.06	0.26	9.69	-0.56	-0.50	-0.44	3449.59
-0.19	0.11	9.71	-0.56	-0.50	-0.44	3449.59
-0.17	0.10	9.82	-0.44	-0.12	-0.25	3449.60
-0.17	0.10	9.82	-0.44	-0.12	-0.25	3449.60
-0.10	0.16	9.80	0.12	0.00	0.00	3449.61
-0.10	0.16	9.80	0.12	0.00	0.00	3449.61
-0.09	0.17	9.80	0.00	-0.19	-0.12	3449.62
-0.09	0.17	9.80	0.00	-0.19	-0.12	3449.63
0.03	0.29	9.68	-0.12	-0.25	0.19	3449.63
0.03	0.29	9.68	-0.12	-0.12	0.06	3449.64
-0.13	0.15	9.74	-0.12	-0.12	0.06	3449.64
0.00	0.28	9.75	-0.06	0.19	-0.06	3449.65
0.00	0.28	9.75	-0.06	0.19	-0.06	3449.65
-0.09	0.19	9.82	0.00	0.06	0.06	3449.66
-0.09	0.19	9.82	0.00	0.06	0.06	3449.66
-0.12	0.15	9.78	-0.25	-0.31	-0.12	3449.67
-0.12	0.15	9.78	-0.25	-0.31	-0.12	3449.68
0.00	0.29	9.70	0.12	0.12	0.06	3449.68
0.00	0.29	9.70	-0.06	0.12	-0.06	3449.69
-0.17	0.16	9.75	-0.06	0.12	-0.06	3449.69
0.00	0.26	9.75	-0.06	-0.12	-0.19	3449.70
0.00	0.26	9.75	-0.06	-0.12	-0.19	3449.70
-0.11	0.17	9.76	0.19	-0.12	-0.12	3449.71
-0.11	0.17	9.76	0.19	-0.12	-0.12	3449.71
-0.10	0.13	9.82	-0.12	-0.06	-0.25	3449.72
-0.10	0.13	9.82	-0.12	-0.06	-0.25	3449.73
-0.12	0.17	9.74	0.19	-0.19	0.12	3449.73
-0.12	0.17	9.74	-0.12	0.06	-0.12	3449.74
-0.09	0.17	9.74	-0.12	0.06	-0.12	3449.75
0.00	0.26	9.77	0.06	-0.06	0.12	3449.75
0.00	0.26	9.77	0.06	-0.06	0.12	3449.75
-0.07	0.20	9.78	0.00	-0.06	-0.06	3449.76
-0.07	0.20	9.78	0.00	-0.06	-0.06	3449.76
-0.02	0.28	9.75	0.06	-0.06	0.00	3449.77
-0.02	0.28	9.75	0.06	-0.06	0.00	3449.78
-0.05	0.21	9.66	0.00	0.00	0.00	3449.78
-0.05	0.21	9.66	-0.12	-0.06	-0.06	3449.79
-0.14	0.17	9.74	-0.12	-0.06	-0.06	3449.79
0.00	0.25	9.76	0.00	0.12	0.00	3449.80
0.00	0.25	9.76	0.00	0.12	0.00	3449.80
-0.11	0.17	9.80	0.06	0.00	0.00	3449.81
-0.11	0.17	9.80	0.06	0.00	0.00	3449.82
-0.03	0.26	9.82	0.06	0.19	-0.12	3449.82
-0.03	0.26	9.82	0.06	0.19	-0.12	3449.83
-0.10	0.20	9.67	0.06	0.00	0.00	3449.83
-0.10	0.20	9.67	0.00	-0.06	-0.06	3449.84
-0.11	0.15	9.72	0.00	-0.06	-0.06	3449.84
-0.07	0.19	9.77	0.00	0.06	-0.12	3449.85
-0.07	0.19	9.77	0.00	0.06	-0.12	3449.85
-0.13	0.17	9.80	-0.12	0.00	0.19	3449.86
-0.13	0.17	9.80	-0.12	0.00	0.19	3449.87
-0.05	0.20	9.79	-0.06	0.00	-0.06	3449.87
-0.05	0.20	9.79	-0.06	0.00	-0.06	3449.88
-0.10	0.16	9.70	-0.12	0.06	0.12	3449.88
-0.10	0.16	9.70	-0.12	0.06	0.00	3449.89
-0.04	0.21	9.74	-0.12	0.06	0.00	3449.89
-0.04	0.22	9.78	0.12	0.12	0.06	3449.90
-0.04	0.22	9.78	0.12	0.12	0.06	3449.90
-0.07	0.19	9.79	0.06	0.00	0.06	3449.91
-0.07	0.19	9.79	0.06	0.00	0.06	3449.92
-0.04	0.20	9.74	0.06	0.00	0.06	3449.92
-0.04	0.20	9.74	0.06	0.00	0.06	3449.93
-0.09	0.18	9.71	0.00	0.12	-0.12	3449.93
-0.09	0.18	9.71	0.00	0.12	-0.12	3449.94
-0.03	0.24	9.72	0.00	0.12	-0.12	3449.95
-0.06	0.21	9.74	0.00	0.06	-0.31	3449.95
-0.06	0.21	9.74	0.00	0.06	-0.31	3449.95
-0.06	0.21	9.80	0.00	0.06	0.06	3449.96
-0.06	0.21	9.80	0.00	0.06	0.06	3449.97
-0.08	0.20	9.75	-0.12	-0.25	0.00	3449.97
-0.08	0.20	9.75	-0.12	-0.25	0.00	3449.98
-0.11	0.17	9.71	-0.06	-0.12	0.06	3449.98
-0.11	0.17	9.71	0.06	-0.12	0.00	3449.99
-0.07	0.22	9.70	0.06	-0.12	0.00	3450.00
-0.11	0.17	9.77	-0.12	-0.12	0.06	3450.00
